"[run number]","[step]","initial-density","count patches with [pcolor = white]","count patches with [pcolor = red]"
"2813","10","0.61","236","246"
"2812","10","0.61","126","122"
"2815","10","0.66","70","70"
"2814","10","0.68","91","94"
"2817","10","0.69","54","54"
"2816","10","0.15","1021","1052"
"2827","2","0.78","0","2"
"2819","10","0.07","708","681"
"2821","10","0.71","15","15"
"2818","10","0.12","883","929"
"2820","10","0.47","400","414"
"2822","10","0.16","873","918"
"2823","10","0.44","520","512"
"2835","1","0.85","0","8506"
"2837","1","0.85","0","8504"
"2824","10","0.54","335","338"
"2826","10","0.62","120","121"
"2825","10","0.64","235","251"
"2840","1","0.91","0","9086"
"2828","10","0.1","804","857"
"2831","10","0.74","34","34"
"2832","10","0.46","362","380"
"2844","1","0.97","0","9726"
"2829","10","0.26","854","902"
"2833","10","0.67","50","48"
"2834","10","0.23","738","868"
"2836","10","0.69","47","47"
"2830","10","0.34","677","706"
"2838","10","0.77","28","28"
"2842","10","0.06","592","651"
"2839","10","0.2","956","1039"
"2845","10","0.63","102","103"
"2846","10","0.03","310","276"
"2853","1","0.92","0","9217"
"2843","10","0.78","3","3"
"2841","10","0.48","296","312"
"2859","1","0.95","0","9516"
"2856","3","0.77","0","1"
"2847","10","0.41","608","620"
"2848","10","0.36","765","803"
"2849","10","0.72","28","28"
"2862","1","0.95","0","9502"
"2864","2","0.88","0","1"
"2850","10","0.01","103","78"
"2851","10","0.72","36","36"
"2852","10","0.67","51","49"
"2855","10","0.46","474","480"
"2857","10","0.63","147","150"
"2854","10","0.45","511","513"
"2871","1","0.93","0","9300"
"2858","10","0.18","854","904"
"2861","10","0.34","786","788"
"2872","2","0.77","0","2"
"2875","1","0.95","0","9489"
"2860","10","0.66","64","65"
"2863","10","0.68","50","38"
"2879","0","0","0","0"
"2866","10","0.27","809","835"
"2865","10","0.75","28","28"
"2881","1","1","0","10005"
"2868","10","0.63","117","118"
"2867","10","0.52","310","321"
"2869","10","0.68","46","54"
"2870","10","0.41","650","684"
"2874","10","0.31","845","870"
"2873","10","0.32","855","921"
"2877","10","0.34","810","842"
"2889","1","0.99","0","9901"
"2876","10","0.32","729","758"
"2880","10","0.7","114","122"
"2878","10","0.35","631","672"
"2894","1","0.97","0","9718"
"2883","10","0.07","659","693"
"2884","10","0.25","809","865"
"2885","10","0.21","932","1010"
"2886","10","0.26","903","947"
"2882","10","0.26","912","969"
"2888","10","0.45","425","449"
"2887","10","0.51","370","376"
"2890","10","0.08","613","614"
"2891","10","0.16","1005","1019"
"2903","2","0.81","0","2"
"2892","10","0.62","115","125"
"2893","10","0.48","462","445"
"2899","10","0.76","59","59"
"2898","10","0.31","767","829"
"2897","10","0.09","738","735"
"2896","10","0.32","890","968"
"2895","10","0.67","70","68"
"2902","10","0.49","316","318"
"2901","10","0.47","319","337"
"2900","10","0.62","300","282"
"2904","10","0.3","803","868"
"2905","10","0.11","833","872"
"2916","1","0.97","0","9717"
"2907","10","0.2","904","999"
"2906","10","0.38","689","729"
"2909","10","0.51","377","375"
"2908","10","0.18","883","953"
"2913","10","0.73","3","3"
"2914","10","0.32","878","932"
"2911","10","0.52","273","293"
"2910","10","0.73","9","9"
"2912","10","0.73","3","5"
"2926","1","0.97","0","9705"
"2915","10","0.72","34","34"
"2927","1","0.9","0","9011"
"2929","1","0.98","0","9783"
"2930","1","0.95","0","9480"
"2919","10","0.2","1008","995"
"2917","10","0.6","217","212"
"2918","10","0.47","390","422"
"2920","10","0.27","704","803"
"2921","10","0.64","168","178"
"2923","10","0.59","263","276"
"2922","10","0.08","707","701"
"2924","10","0.7","34","34"
"2925","10","0.45","580","551"
"2928","10","0.8","28","28"
"2931","10","0.63","83","82"
"2933","10","0.82","3","3"
"2935","10","0.05","525","512"
"2934","10","0.29","845","896"
"2932","10","0.51","343","351"
"2938","10","0.42","448","467"
"2939","10","0.37","724","751"
"2940","10","0.67","40","42"
"2937","10","0.17","820","879"
"2936","10","0.14","836","903"
"2949","1","0.91","0","9109"
"2942","10","0.64","153","151"
"2941","10","0.03","395","318"
"2944","10","0.39","622","622"
"2956","1","0.98","0","9808"
"2946","10","0.52","317","347"
"2943","10","0.43","529","583"
"2947","10","0.17","861","942"
"2945","10","0.69","96","96"
"2948","10","0.23","899","938"
"2960","1","0.9","0","9003"
"2961","2","0.83","0","1"
"2950","10","0.71","87","87"
"2951","10","0.31","724","770"
"2964","1","0.98","0","9807"
"2953","10","0.38","634","683"
"2954","10","0.39","730","729"
"2965","1","0.88","0","8807"
"2952","10","0.32","938","926"
"2955","10","0.36","645","688"
"2969","2","0.8","0","1"
"2973","2","0.87","0","1"
"2957","10","0.05","562","541"
"2975","0","0","0","0"
"2958","10","0.74","37","37"
"2962","10","0.19","821","917"
"2978","1","0.97","0","9685"
"2977","1","0.9","0","9003"
"2963","10","0.09","698","733"
"2970","10","0.16","915","918"
"2966","10","0.33","686","712"
"2959","10","0.46","484","489"
"2967","10","0.44","426","463"
"2968","10","0.6","197","204"
"2983","1","0.92","0","9163"
"2972","10","0.72","31","31"
"2971","10","0.21","852","910"
"2989","1","0.95","0","9509"
"2976","10","0.66","93","95"
"2974","10","0.47","443","471"
"2991","0","0","0","0"
"2990","1","0.89","0","8834"
"2993","1","0.92","0","9225"
"2992","1","0.85","0","8473"
"2996","1","0.93","0","9264"
"2979","10","0.57","279","290"
"2994","1","0.95","0","9541"
"2981","10","0.6","126","131"
"2997","1","0.87","0","8649"
"2980","10","0.51","418","414"
"2985","10","0.69","59","59"
"2986","10","0.84","3","3"
"2987","10","0.66","109","108"
"2982","10","0.06","598","641"
"2984","10","0.53","328","346"
"2988","10","0.29","861","925"
"2995","10","0.71","108","104"
"2998","10","0.15","824","888"
"2999","10","0.03","320","269"
"3000","10","0.74","56","56"
