"[run number]","[step]","initial-density","count patches with [pcolor = white]","count patches with [pcolor = red]"
"613","10","0.17","949","1012"
"625","1","0.88","0","8801"
"611","10","0.09","779","816"
"627","1","0.94","0","9388"
"615","10","0.76","0","2"
"616","10","0.66","85","82"
"618","10","0.43","494","513"
"619","10","0.42","592","595"
"620","10","0.69","74","76"
"633","1","0.97","0","9718"
"622","10","0.03","397","316"
"621","10","0.78","3","3"
"623","10","0.1","892","940"
"624","10","0.25","922","949"
"626","10","0.69","9","11"
"629","10","0.16","852","903"
"640","1","0.93","0","9292"
"631","10","0.73","6","6"
"632","10","0.44","515","548"
"630","10","0.68","103","107"
"628","10","0.27","861","878"
"643","1","0.93","0","9327"
"635","10","0.16","926","974"
"634","10","0.35","642","704"
"648","1","0.81","0","8103"
"649","1","0.92","0","9206"
"636","10","0.44","593","603"
"652","2","0.83","0","2"
"638","10","0.76","3","3"
"639","10","0.05","515","468"
"641","10","0.04","440","410"
"637","10","0.28","894","927"
"642","10","0.05","466","496"
"644","10","0.77","31","29"
"647","10","0.3","832","893"
"650","10","0.04","320","313"
"645","10","0.56","229","242"
"651","10","0.49","457","471"
"646","10","0.42","635","669"
"653","10","0.29","797","800"
"654","10","0.56","288","279"
"658","10","0.3","749","747"
"655","10","0.42","575","625"
"656","10","0.51","356","383"
"669","1","0.87","0","8702"
"659","10","0.63","52","51"
"661","10","0.16","714","752"
"660","10","0.12","824","884"
"657","10","0.6","197","199"
"663","10","0.12","887","906"
"665","10","0.59","308","306"
"662","10","0.18","902","980"
"666","10","0.69","96","96"
"675","2","0.8","0","2"
"664","10","0.41","604","607"
"667","10","0.56","276","281"
"672","10","0.43","543","562"
"671","10","0.71","55","60"
"668","10","0.71","9","11"
"670","10","0.62","158","154"
"673","10","0.61","255","261"
"676","10","0.41","598","624"
"677","10","0.71","58","56"
"678","10","0.19","983","1002"
"679","10","0.28","885","928"
"689","1","0.93","0","9319"
"674","10","0.71","31","31"
"680","10","0.44","478","488"
"691","1","0.9","0","9028"
"681","10","0.08","708","739"
"694","1","0.98","0","9810"
"690","3","0.77","0","1"
"682","10","0.22","879","997"
"683","10","0.49","377","387"
"685","10","0.58","237","235"
"699","1","0.88","0","8813"
"684","10","0.24","914","973"
"700","1","0.94","0","9430"
"687","10","0.04","429","378"
"686","10","0.63","155","157"
"688","10","0.04","459","421"
"703","2","0.84","0","1"
"707","1","0.99","0","9915"
"693","10","0.72","34","34"
"695","10","0.69","62","62"
"697","10","0.67","33","35"
"696","10","0.15","931","973"
"710","1","0.95","0","9483"
"711","1","0.92","0","9171"
"692","10","0.18","853","914"
"698","10","0.23","904","940"
"701","10","0.56","294","286"
"704","10","0.17","919","971"
"717","1","0.92","0","9235"
"706","10","0.72","56","56"
"705","10","0.18","872","925"
"721","1","0.89","0","8920"
"702","10","0.35","726","773"
"719","2","0.79","0","1"
"708","10","0.32","772","839"
"712","10","0.04","382","404"
"709","10","0.27","728","796"
"716","10","0.8","28","28"
"714","10","0.21","963","1050"
"713","10","0.46","609","606"
"715","10","0.7","45","47"
"718","10","0.42","668","705"
"720","10","0.08","943","943"
"722","10","0.16","783","872"
"725","10","0.25","877","936"
"724","10","0.09","863","911"
"723","10","0.01","86","62"
"731","3","0.74","0","2"
"734","2","0.77","0","3"
"726","10","0.57","203","203"
"728","10","0.81","28","28"
"739","2","0.77","0","1"
"730","10","0.03","375","296"
"742","1","0.99","0","9898"
"729","10","0.15","868","945"
"745","0","0","0","0"
"727","10","0.18","951","991"
"732","10","0.18","943","989"
"746","2","0.77","0","2"
"733","10","0.37","650","690"
"735","10","0.25","956","1029"
"736","10","0.18","803","891"
"737","10","0.08","671","690"
"738","10","0.71","6","6"
"740","10","0.55","257","265"
"741","10","0.63","135","138"
"743","10","0.61","301","321"
"744","10","0.12","784","803"
"748","10","0.3","911","932"
"757","2","0.75","0","11"
"750","10","0.64","150","141"
